job-title,county-addl-step-label,county-addl-step,county-addl-step-label2,county-addl-step2,3-year-county-total-base,seiu1,seiu2,seiu3,,,,,,,,,,
Residential Care Worker I,,,,,5.69%,6.19%,5.69%,17.58%,,,,,,,,,,
Residential Care Worker II,,,,,6.03%,6.53%,6.03%,18.58%,,,,,,,,,,
Residential Care Worker Supervisor,,,,,6.05%,6.55%,6.05%,18.65%,,,,,,,,,,
Residential Care Worker Tr,,,,,5.67%,6.17%,5.67%,17.52%,,,,,,,,,,
Residential Childcare Specialist,,,,,6.25%,6.75%,6.25%,19.24%,,,,,,,,,,
Revenue & Recovery Officer,,,,,4.00%,4.43%,3.93%,12.36%,,,,,,,,,,
Revenue & Recovery Officer Trainee,,,,,5.10%,5.60%,5.10%,15.81%,,,,,,,,,,
Road Crew Supervisor,Allow reimbursement for insoles/mink oil/laces for Boot Allowance,remains $300/year,,,4.25%,4.75%,4.25%,13.25%,,,,,,,,,,
Road Structures Supervisor (T),,,,,5.04%,5.54%,5.04%,15.63%,,,,,,,,,,
Sanitation Regional Supervisor,,,,,5.85%,6.35%,5.85%,18.04%,,,,,,,,,,
Section Chief Revenue & Recovery,,,,,4.00%,4.20%,3.70%,11.89%,,,,,,,,,,
Senior Account Clerk,,,,,4.55%,5.05%,4.55%,14.14%,,,,,,,,,,
Senior Accountant,,,,,4.00%,3.54%,3.04%,10.58%,,,,,,,,,,
Senior Admissions Clerk,Psychiatric Hospital Location Premium,5.00%,,,4.38%,4.88%,4.38%,13.63%,,,,,,,,,,
Senior Adult Protective Svcs Specialist,,,,,6.22%,6.72%,6.22%,19.17%,,,,,,,,,,
Senior Agricultural/Standards Inspector,,,,,4.00%,3.56%,3.06%,10.61%,,,,,,,,,,
Senior Air Pollution Chemist,,,,,4.51%,5.01%,4.51%,14.03%,,,,,,,,,,
Senior Air Pollution Control Engineer,add 2 additional top steps to the salary schedule,up to 10%,,,4.01%,4.51%,4.01%,12.53%,,,,,,,,,,
Senior Airport Technician,,,,,4.00%,4.46%,3.96%,12.42%,,,,,,,,,,
Senior Animal Services Representative,,,,,4.00%,3.81%,3.31%,11.11%,,,,,,,,,,
Senior Assessment Clerk,,,,,6.01%,6.51%,6.01%,18.54%,,,,,,,,,,
Senior Cadastral Technician,,,,,4.23%,4.73%,4.23%,13.18%,,,,,,,,,,
Senior Cashier,,,,,4.47%,4.97%,4.47%,13.90%,,,,,,,,,,
Senior Civil Engineer,,,,,4.00%,4.10%,3.60%,11.69%,,,,,,,,,,
Senior Clinical Psychologist,Additional Step Increase for employees who have been on the top step for at least 12 paid months,5%,,,5.06%,5.56%,5.06%,15.69%,,,,,,,,,,
Senior Communicable Disease Investigator,,,,,4.00%,4.28%,3.78%,12.07%,,,,,,,,,,
Senior Construction Inspector,,,,,5.66%,6.16%,5.66%,17.48%,,,,,,,,,,
Senior Cook,Add to Boot Allowance,$300/year,,,4.58%,5.08%,4.58%,14.25%,,,,,,,,,,
Senior Electronic Security & Systems Technician,,,,,4.00%,4.36%,3.86%,12.22%,,,,,,,,,,
Senior Emergency Services Coordinator,,,,,4.00%,4.07%,3.57%,11.64%,,,,,,,,,,
Senior Epidemiologist,,,,,4.00%,4.06%,3.56%,11.62%,,,,,,,,,,
Senior Forensic Evidence Technician,,,,,4.56%,5.06%,4.56%,14.17%,,,,,,,,,,
Senior Geographic Information Systems Analyst,,,,,4.32%,4.82%,4.32%,13.46%,,,,,,,,,,
