job-title,county-addl-step-label,county-addl-step,county-addl-step-label2,county-addl-step2,3-year-county-total-base,seiu1,seiu2,seiu3,,,,,,,,,,
Trial Support Specialist,Additional Step Increase for employees who have been on the top step for at least 12 paid months,5%,,,4.00%,3.50%,3.00%,10.50%,,,,,,,,,,
Trial Support Unit Supervisor,,,,,4.00%,4.37%,3.87%,12.25%,,,,,,,,,,
Utilization Review Quality Improvement Specialist,,,,,4.72%,5.22%,4.72%,14.67%,,,,,,,,,,
Utilization Review Quality Improvement Supervisor,,,,,4.42%,4.92%,4.42%,13.76%,,,,,,,,,,
Vector Control Tech Aide,,,,,7.63%,8.13%,7.63%,23.38%,,,,,,,,,,
Vector Control Technician,,,,,6.31%,6.81%,6.31%,19.44%,,,,,,,,,,
Vector Ecologist,,,,,4.04%,4.54%,4.04%,12.63%,,,,,,,,,,
Veterans Services Representative,,,,,4.55%,5.05%,4.55%,14.15%,,,,,,,,,,
Veterinarian,,,,,5.71%,6.21%,5.71%,17.64%,,,,,,,,,,
Victim Advocate,,,,,4.00%,3.51%,3.01%,10.52%,,,,,,,,,,
Victim/Witness Assist Program Manager,,,,,4.17%,4.67%,4.17%,13.01%,,,,,,,,,,
Victim/Witness Assistance Program Supervisor,,,,,4.56%,5.06%,4.56%,14.17%,,,,,,,,,,
Wastewater Facilities Supervisor,Allow reimbursement for insoles/mink oil/laces for Boot Allowance,remains $300/year,,,4.11%,4.61%,4.11%,12.82%,,,,,,,,,,
Wastewater Plant Operator III,Allow reimbursement for insoles/mink oil/laces for Boot Allowance,remains $300/year,,,4.00%,4.33%,3.83%,12.15%,,,,,,,,,,
Watershed Manager,,,,,4.00%,3.86%,3.36%,11.22%,,,,,,,,,,
